LAMMPS data file generated via init_lammps.jl. Written by Simon Alberti.
 
850 atoms
1 atom types

-5.0 5.0 xlo xhi
-5.0 5.0 ylo yhi
-5.0 5.0 zlo zhi

Masses

1 1

Atoms

1 1 1 0.0 1.963948798196384 4.399241139639809 -3.591414896358759 0 0 0
2 2 1 0.0 2.0320972305351983 -0.12060001251228769 2.652663405086944 0 0 0
3 3 1 0.0 1.7142978651486125 -1.129539761464049 1.3197940199068192 0 0 0
4 4 1 0.0 1.593130521836943 3.288964663317101 3.4824168194841185 0 0 0
5 5 1 0.0 -3.917445938082491 -4.863186423224914 -0.560159847528845 0 0 0
6 6 1 0.0 2.537864577641934 -1.612391250594034 0.3042660802810122 0 0 0
7 7 1 0.0 2.1168838089474553 1.025028783271969 4.789219926092903 0 0 0
8 8 1 0.0 3.5004240405598903 -4.235806092527521 3.3563616444246804 0 0 0
9 9 1 0.0 -0.5103365221728682 -2.619593377484377 -4.6651798798422925 0 0 0
10 10 1 0.0 -2.4094221154124495 1.891878204167563 -2.1157338743242593 0 0 0
11 11 1 0.0 -1.0012495159332788 -3.0615868048528263 2.647630741975954 0 0 0
12 12 1 0.0 3.192906527698362 2.7908036794751467 0.15476653065847668 0 0 0
13 13 1 0.0 4.942652919597556 -3.155751640439781 -2.8912139173555085 0 0 0
14 14 1 0.0 2.4340524993843236 3.737372892612079 -0.7156763424293562 0 0 0
15 15 1 0.0 -1.7731760356711543 -3.292046077375248 -2.0903302313774197 0 0 0
16 16 1 0.0 2.0812063124665903 2.04851826992787 4.69061244542347 0 0 0
17 17 1 0.0 -3.1732806094318455 -1.5011841583304184 -1.6822829704651143 0 0 0
18 18 1 0.0 3.7531842074894133 1.8965345720080578 2.0906331322290157 0 0 0
19 19 1 0.0 -4.5524512893173465 -3.245939927233703 -4.513863313480404 0 0 0
20 20 1 0.0 -3.879998233278037 -4.673132551495335 -4.855843350530008 0 0 0
21 21 1 0.0 -3.5740500986535606 -1.854466583549904 -2.9390432308787116 0 0 0
22 22 1 0.0 2.9562101527575146 3.281227530012794 -4.55251928524016 0 0 0
23 23 1 0.0 -4.637421261119875 1.8079208181395945 4.645751684062956 0 0 0
24 24 1 0.0 0.09857825426292344 -1.1357613133835764 -2.190871235982282 0 0 0
25 25 1 0.0 1.302576161038803 -0.7873412349785074 3.045452021916086 0 0 0
26 26 1 0.0 0.3211643787540215 -2.3936182462736943 -4.031957154267286 0 0 0
27 27 1 0.0 -4.399731252234343 -1.0588536180629649 -2.822901301987748 0 0 0
28 28 1 0.0 -3.9741475211617363 4.485036722719846 0.4006116542780802 0 0 0
29 29 1 0.0 3.2127270931887004 1.3289045052126136 3.5164274067939125 0 0 0
30 30 1 0.0 -1.6618580729803512 -0.3261786581896633 -4.13362759511609 0 0 0
31 31 1 0.0 2.854191148316181 4.512079426323041 2.0536606404672355 0 0 0
32 32 1 0.0 -0.09698908629809999 -4.688864345451612 1.3244427959686647 0 0 0
33 33 1 0.0 2.7169794833562797 1.829156305018902 -4.244146076275981 0 0 0
34 34 1 0.0 -3.817044689161496 4.164277110287802 -0.9846270460167386 0 0 0
35 35 1 0.0 0.5227392083777707 2.8898444701568167 -0.8727811805926464 0 0 0
36 36 1 0.0 2.5676149537582393 -2.7403923973652846 2.9836123136407213 0 0 0
37 37 1 0.0 -1.466368899848761 -1.6461941746558475 -2.491327616751966 0 0 0
38 38 1 0.0 0.22038682052486624 0.5713557377561838 4.331875610111586 0 0 0
39 39 1 0.0 -4.5693554496782705 -4.624428171913032 -3.035643883052561 0 0 0
40 40 1 0.0 3.4524964044047497 1.2799524501920274 4.890160174626821 0 0 0
41 41 1 0.0 3.593478960266946 -3.001637039979894 -1.093808839912783 0 0 0
42 42 1 0.0 -4.9537645511149435 2.03345983558322 -2.0016373617644256 0 0 0
43 43 1 0.0 -3.0494362236815267 -0.7968426886622506 1.7592058908629653 0 0 0
44 44 1 0.0 1.5117096885848271 -4.050361380110129 -3.884698449027008 0 0 0
45 45 1 0.0 -0.5426959672280427 -0.5159046664306732 -3.249518243934215 0 0 0
46 46 1 0.0 -3.141667108828854 -0.06883380468375933 1.4720674609339799 0 0 0
47 47 1 0.0 0.7787900565223005 -2.6581691881735425 -4.658304399755259 0 0 0
48 48 1 0.0 -3.3618159721588725 0.6110118578417447 -2.6801418364597938 0 0 0
49 49 1 0.0 -1.07507421636458 -1.6518541103157123 2.128084212964274 0 0 0
50 50 1 0.0 4.11055888239445 -2.4516770106852204 -4.570167474993513 0 0 0
51 51 1 0.0 0.14128024429064556 -0.2569531906350777 2.73513375769363 0 0 0
52 52 1 0.0 -1.7633363717885784 0.9550084603442324 -3.061702897760896 0 0 0
53 53 1 0.0 -1.3129788119357766 2.7974638884472753 0.32572233122942507 0 0 0
54 54 1 0.0 2.520318048645551 1.1255798431328934 3.4069461913714623 0 0 0
55 55 1 0.0 -0.09159743593355163 -2.2634265785940877 2.96521499865373 0 0 0
56 56 1 0.0 2.808079009628198 4.9293236470099515 -4.419426898703776 0 0 0
57 57 1 0.0 -2.439719057177604 -1.6229967560043446 -4.70032125131623 0 0 0
58 58 1 0.0 2.7745155943281556 2.6937027113511096 4.956568374912587 0 0 0
59 59 1 0.0 -3.4055184218839427 -4.673509184097427 1.1498038780850486 0 0 0
60 60 1 0.0 -2.0931462511825103 3.8164859558540893 -0.8537361265997685 0 0 0
61 61 1 0.0 3.923187194600999 2.239836585844878 -1.1741286476831405 0 0 0
62 62 1 0.0 -0.2277251497831383 2.1760505453222763 1.1794942654885023 0 0 0
63 63 1 0.0 -0.4346786470632118 -4.128246178953807 -0.5575750195578779 0 0 0
64 64 1 0.0 0.08915233753481111 -2.6507827812344233 -1.8740154191881597 0 0 0
65 65 1 0.0 1.785771140260107 -4.85581728998565 -4.2281724580076405 0 0 0
66 66 1 0.0 3.684792816175955 3.7807459511046844 3.6042753785617414 0 0 0
67 67 1 0.0 0.9301345022998841 0.15845381860454832 -2.220306511573853 0 0 0
68 68 1 0.0 2.3537457286483034 3.3974909893361485 -3.769076050590938 0 0 0
