LAMMPS data file generated via init_lammps.jl. Written by Simon Alberti.
 
2550 atoms
1 atom types

-5.0 5.0 xlo xhi
-5.0 5.0 ylo yhi
-15.0 15.0 zlo zhi

Masses

1 1

Atoms

1 1 1 0.0 -1.7335859470076387 0.973576584608379 3.424020589931679 0 0 0
2 2 1 0.0 4.524246709400073 4.494509588948002 -14.161792370810874 0 0 0
3 3 1 0.0 -3.738517413354904 -0.39957395428268505 -4.586217297164646 0 0 0
4 4 1 0.0 -0.06581274837367701 3.83890062610579 -13.663647975138018 0 0 0
5 5 1 0.0 1.0369219054302476 1.31953386088969 -3.226869163186933 0 0 0
6 6 1 0.0 -0.00986520374123323 0.9339881675477564 1.441599150682915 0 0 0
7 7 1 0.0 2.9433893305147496 -0.46630717262806165 -2.013340926298966 0 0 0
8 8 1 0.0 2.20446325846315 2.801167603853596 -6.089240765804419 0 0 0
9 9 1 0.0 4.014831057614897 -4.319970931559621 8.020672194666727 0 0 0
10 10 1 0.0 -2.0633128946966126 -3.712516259746258 1.105141786029936 0 0 0
11 11 1 0.0 3.1045148534346936 2.3700379159246454 4.365205351096371 0 0 0
12 12 1 0.0 0.26727342407616295 1.6439615874237 -4.13385880144736 0 0 0
13 13 1 0.0 -3.4502346480825583 1.6112443683233257 -6.745294844035703 0 0 0
14 14 1 0.0 -4.950073180169743 1.3625476748032286 6.247949329978066 0 0 0
15 15 1 0.0 -1.7234845167593882 -3.972232301703605 8.480760267473311 0 0 0
16 16 1 0.0 -0.13479332058459637 1.0735859039803755 -14.000633729627339 0 0 0
17 17 1 0.0 -1.5374763908656819 -0.12524023867352962 -12.521983068239992 0 0 0
18 18 1 0.0 -4.988287581828229 -2.8427970453878117 3.9360505481906003 0 0 0
19 19 1 0.0 0.16957986603181485 1.7686948135156433 -4.999899592443999 0 0 0
20 20 1 0.0 -1.3863993923753082 -2.672615995329497 -2.4231770898071385 0 0 0
21 21 1 0.0 -0.7057076329020315 4.8480844064831 -6.437468268668388 0 0 0
22 22 1 0.0 1.614796395754933 3.716969196761095 -8.777047877238505 0 0 0
23 23 1 0.0 3.907973464870304 -1.8481332416404328 -7.8242860352932055 0 0 0
24 24 1 0.0 1.2077923406568436 -3.2377450741134806 -4.013940945498689 0 0 0
25 25 1 0.0 0.683489498093472 1.3139923601072798 8.96913103195103 0 0 0
26 26 1 0.0 4.4826279621920335 -1.8254301336074343 -13.211578780610559 0 0 0
27 27 1 0.0 2.7885007742436407 1.163001840134621 -2.8024283658782974 0 0 0
28 28 1 0.0 2.5925197824183233 0.9501246371150849 13.027937430997326 0 0 0
29 29 1 0.0 -0.5683693297004595 -4.984292701855376 7.006578490498786 0 0 0
30 30 1 0.0 -2.558548097373995 -1.3626422515869674 -14.145430939739214 0 0 0
31 31 1 0.0 2.1932253950624236 -2.1584360501008284 14.759275672964499 0 0 0
32 32 1 0.0 -1.8171074437232648 -1.516034841381356 0.519556660731773 0 0 0
33 33 1 0.0 -3.744667068876467 0.8872563607258224 -5.458963571508782 0 0 0
34 34 1 0.0 -2.9582273675205037 3.017293901750506 -13.549667027018277 0 0 0
35 35 1 0.0 1.0177309092832685 1.004826971100906 0.5589792472446149 0 0 0
36 36 1 0.0 1.9876272502230927 1.8835021269002317 10.762257427542686 0 0 0
37 37 1 0.0 -4.21823008418997 3.400754339453604 4.940258382421003 0 0 0
38 38 1 0.0 4.245224819526504 -0.9435282297705552 10.56242981474373 0 0 0
39 39 1 0.0 -2.4510474707069974 -3.095885406443112 -10.21928567623313 0 0 0
40 40 1 0.0 1.5208549081242744 -0.34067264780329864 -12.144956800455573 0 0 0
41 41 1 0.0 -1.2063370892166967 3.483626883185151 4.44245941915608 0 0 0
42 42 1 0.0 0.9303652506689817 -1.1199020947162475 -3.321852257199261 0 0 0
43 43 1 0.0 2.3603289813787534 1.2092112012810698 -7.746845644424894 0 0 0
44 44 1 0.0 1.7249624724550197 1.147909140353419 -6.305844361196982 0 0 0
45 45 1 0.0 0.6852319439988204 -0.5493750806414832 3.198711282356072 0 0 0
46 46 1 0.0 -0.19493977889032799 1.1442771804568999 4.556881828622007 0 0 0
47 47 1 0.0 -2.376456923756537 -0.7203079616107431 -7.17202455018246 0 0 0
48 48 1 0.0 1.1565053021482399 -3.9571981954907742 -6.841285220361881 0 0 0
